Judul,Tanggal,Penulis,Isi,Link Lengkap
"Jatim Park: Sejarah, Jenis Wisata, dan Harga Tiket Masuk",2022-01-15,"['Kompas Cyber Media', 'William Ciputra', 'Cahwib Shutterstock']",,https://surabaya.kompas.com/read/2022/01/15/104726078/jatim-park-sejarah-jenis-wisata-dan-harga-tiket-masuk
Presentasi Kolaborasi Seni Enka Komariah-Dwi Oblo,2022-01-15,[],"Harian Kompas adalah surat kabar Indonesia yang berkantor pusat di Jakarta. Kompas diterbitkan oleh PT Kompas Media Nusantara yang merupakan bagian dari kelompok usaha Kompas Gramedia (KG), yang didirikan oleh P.K. Ojong (almarhum) dan Jakob Oetama sejak 28 Juni 1965.



Mengusung semboyan ""Amanat Hati Nurani Rakyat"", Kompas dikenal sebagai sumber informasi tepercaya, akurat, dan mendalam.",https://www.kompas.id/baca/nusantara/2022/01/15/presentasi-kolaborasi-seni-enka-komariah-dwi-oblo/?utm_source=external_kompascom&utm_medium=berita_terkini&utm_campaign=kompascom
"Update Gempa Banten, 861 Rumah dan 25 Sekolah di 44 Kecamatan Rusak",2022-01-15,"['Kompas Cyber Media', 'Kontributor Serang', 'Rasyid Ridho', 'Kompas.Com Acep Nazmudin']",,https://regional.kompas.com/read/2022/01/15/104502678/update-gempa-banten-861-rumah-dan-25-sekolah-di-44-kecamatan-rusak
Berapa Lama Gejala Omicron Akan Mendekam di Dalam Tubuh?,2022-01-15,"['Kompas Cyber Media', 'Inten Esti Pratiwi', 'Shutterstock Funkey Factory', 'Picture Alliance Via Dw Indonesia']",,https://www.kompas.com/tren/read/2022/01/15/103000965/berapa-lama-gejala-omicron-akan-mendekam-di-dalam-tubuh
"Jauh Panggang dari Api, Kualitas Data Set di Indonesia",2020-07-20,"['Kompas Cyber Media', 'Dosen Umn']","Oleh Veronika*

UJIAN tengah semester telah usai, waktunya memberikan penilaian. Seperti biasanya, di setiap tugas akhir mata kuliah yang saya ampu, selalu ada ruang bagi mahasiswa untuk memberikan evaluasi dan apresiasinya pada proses pembelajaran yang telah berlangsung selama14 pekan.

Bagian inilah yang paling membuat saya bertahan lama membaca laporan akhir satu per satu meski jumlahnya berhalaman-halaman.

Di semester genap tahun ajaran 2019/2020 ini, salah satu mata kuliah yang saya ampu adalah Interactive Data Journalism (IDJ). Mata kuliah ini memiliki tujuan menyiapkan calon jurnalis yang mampu menghasilkan karya jurnalistik berbasiskan data.

Melalui bagian laporan akhir tersebut, saya bisa merasakan pengalaman mahasiswa selama mengikuti perkuliahan IDJ yang berlangsung setengah-setengah ini. Setengah semester mampu kita lewati secara tatap muka sementara setengah nya lagi harus melalui aplikasi daring karena fenomena pandemi Covid-19.

Baca juga: Djoko Tjandra Disebut Ada di Malaysia, Ditjen Imigrasi Jelaskan soal Data Perlintasannya

Saya menemukan ada nada senang dalam evaluasi sejumlah mahasiswa karena telah mengakhiri tugas perkuliahan dengan baik dan mendapatkan pembelajaran baru mengenai data.

“Menurut saya, pembelajaran Interactive Data Journalism sangatlah menyenangkan karena saya dan tim harus bermain dengan data dan bagaimana membuat data tersebut menjadi menarik beserta dengan artikelnya,” ungkap seorang mahasiswi yang tentu saja membuat saya tersenyum puas.

Selain itu, ada pula nada kecewa dalam cerita mereka kerena tidak bisa berinteraksi langsung selama perkuliahan, dan sebagian lainnya turut menceritakan bagian tersulit yang mereka rasakan saat berusaha menyelesaikan tugas mata kuliah ini.

Salah satunya adalah kesulitan pencarian data set. “Masukan dari saya adalah data set di Indonesia banyak yang tidak dapat diakses. kebanyakan terkunci atau datanya tidak sesuai dengan apa yang kami harapkan,” ungkap seorang mahasiswa yang pada akhirnya membuat data set sendiri untuk menyelesaikan proyek akhir bersama kelompoknya.

Data set adalah landasan dasar pembuatan projek akhir mata kuliah ini, yaitu berita yang kuat dengan nuansa data. Hal ini membuat saya kecewa, karena sejak mata kuliah ini diberlakukan sekitar tiga tahun lalu, permasalahan data set ini masih saja mucul.

Di mana sebenarnya permasalahannya? Sebelum membahas persoalan tersebut mari pahami terlebih dahulu apa itu data set. Berkali-kali disebut data set karena memiliki ciri yang lebih spesifik sementara jika kita menggunakan kata ‘data’ maka artinya akan sangat luas, bisa berarti informasi atau fakta.

Baca juga: 3 Petugas Pemutakhiran Data Pemilih KPU Positif Covid-19

Menurut David Herzog dalam bukunya Data Literacy, data adalah file dalam bentuk kolom dan baris yang dapat berupa teks, angka, tanggal, dan sejenisnya.

Sementara menurut Fred Vallance-Jones dan David McKie dalam bukunya The Data Journalist Getting the Story, data adalah informasi yang terkategori dan disusun dalam baris dan kolom untuk memudahkan analisis.

Secara sederhana data set berarti kumpulan informasi yang dapat diolah menggunakan sejumlah tools seperti Microsoft Excel atau pun spreadsheet.

Jonathan Gray dkk dalam The Data Journalism Handbook menjelaskan bahwa di era digital saat ini data dapat berupa apa saja yang nantinya dapat kita jelaskan dengan angka. Contoh sederhana data set adalah jumlah penduduk Indonesia, jumlah penduduk pria dan wanita, jumlah anak-anak, remaja, dewasa dan lansia.

Atau yang seperti saya jelasakan tadi data set bisa berupa apa saja seperti yang saya temukan di sebuah unggahan media sosial. Data set ini berupa daftar promo fasilitas pembelian makanan dari sebuah jasa layanan transportasi daring.

Data yang dikelompokkan dalam bentuk tabel berdasarkan nama promo, minimum pemesanan, jumlah diskon atau promo, dan maksimum pemesanan.

Contoh lain data set yang dibuat oleh mahasiswa sebagai tugas akhirnya adalah pengelompokan fasilitas yang disediakan aplikasi pertemuan daring seperti Zoom, Microsoft Teams, dan sebagainya. Topik ini sangat dekat dengan keseharian masyarakat saat ini ketika harus beraktivitas dari rumah.

Data di sini dianggap sesuatu yang penting dan berharga bahkan disejajarkan dengan sumber daya alam seperti minyak dan emas. Kenapa?

Sejumlah ahli mengatakan bahwa data dapat menggambarkan secara nyata apa yang terjadi di sekitar kita dan bagaimana hal tersebut dapat berdampak kepada kita. Jika kualitas data setnya baik bahkan dapat membantu proses pengambilan keputusan yang tepat.

Mudahnya, dengan menggunakan data yang akurat kita bisa memperdiksi hasil yang akan kita peroleh jika melakukan kebijakan pada suatu kelompok masyarakat berdasarkan usia, latar belakang pendidikan atau berdasarkan jenis kelamin.

Manfaat pengelolaan data ini tampak sangat menjanjikan dan dapat membuat kehidupan masyarakat kedepannya menjadi lebih baik karena kebijakan – kebijakan yang sangat terukur.

Namun pada kenyataannya tidak semudah itu. Tantangan yang muncul dapat dilihat dari evaluasi sederhana yang diberikan oleh mahasiswa saya terkait dengan pengadaan data set di Indonesia.

Mereka sulit mendapatkan data set yang terinformasi dengan baik mengenai kondisi Indonesia dalam berbagai aspek selama kurun waktu tertentu melalui sejumlah situs penyaji data milik pemerintah.

Sejarah panjang pengelolaan data

Cikal bakal pengelolaan data secara terbuka yang disahkan dalam bentuk undang-undang muncul pada era Presiden Susilo Bambang Yudoyono (SBY). Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik disahkan mensyaratkan setiap lembaga publik wajib mengumumkan informasi publik secara berkala.

Informasi publik di sini terbatas pada informasi yang berkaitan dengan penyelenggaran sebuah negara atau badan publik tersebut. Untuk memperkuat tujuan ini hingga dibentuk lembaga komisi informasi yang berfungsi untuk menjalankan udang-undang ini.

Meski begitu peraturan dengan tujuan mencapai era keterbukaan penyelenggaran negara tidak menunjukkan hasilnya hingga masa kepemimpinan Presiden SBY usai.

Kemudian pada tahun 2019, Presiden Joko Widodo mengeluarkan Peraturan Presiden Nomor 39 Tahun 2019 tentang Satu Data Indonesia. Peraturan presiden ini, berisi kebijakan mengelola data mulai dari menghasilkan data hingga data tersebut dapat diakses dengan mudah.

Di dalamnya terdapat kebijakan membentuk Forum Satu Data Indonesia dan menyediakan Portal Satu Data Indonesia guna mensukseskan program ini. Sesungguhnya tujuan kebijakan ini serupa dengan tujuan kebijakan keterbukaan informasi publik pada era pemerintahan sebelumnya.

Tujuan adanya kebijakan ini yaitu meningkatkan tranparansi dan akuntabilitas pemerintah serta meningkatkan partisipasi masyarakat. Usianya memang baru satu tahun tetapi kesiapannya langsung diuji manakala pandemi Covid-19 sangat bergantung pada data terutama dalam proses penanggulangannya.

Lalu bagaimana dengan Badan Pusat Statistik atau BPS? Tertuang dalam situnya, BPS adalah lembaga pemerintah non-kementerian yang sudah ada jauh sebelum masa kepemimpinan Presiden SBY maupun Joko Widodo yaitu, sejak tahun1960.

Badan ini bertugas menghasilkan data statistik baik secara nasional mau pun internasional. Saat ini, BPS turut menjadi salah satu lembaga yang mendukung beroperasinya Portal Satu Data Indonesia.

Meski tua namun belum layak dituai

Frasa yang cocok diberikan pada sejarah perjalanan pengumpulan data di Indonesia. Meski aktivitas pengumpulan data statistik di Indonesia sudah berlangsung sejak 40 tahun lalu namun kualitas data yang ada belum selaras dengan apa yang diharapkan.

Apalagi saat masa-masa kritis seperti saat ini, yaitu saat di mana pemerintah sangat membutuhkan data perkembangan pandemi Covid-19, data mengenai masyarakat terdampak, dan masih banyak data-data lainnya yang sangat mampu membantu mampu mengambil kebijakan yang tepat.

Berita mengenai permasalahan data dapat dengan mudah kita temui di media daring mulai dari data covid-19 yang tidak sejalan antara Kementerian Kesehatan dan Tim Gugus Tugas hingga ketidaksesuaian data masyarakat yang membutuhkan bantuan pandemi.

Banyak bantuan yang salah sasaran, pihak yang merasa tidak seharusnya mendapatkan bantuan malah mendapatkan, sementara di sisi lain banyak yang terdampak dan sangat kesulitan di masa pandemi ini tidak mendapatkan bantuan apa pun.

Kita juga bisa melihat pemberitaan mengenai kurangnya jumlah bantuan. Bantuan yang didapatkan lebih sedikit dibandingkan dengan data jumlah masyarakat yang membutuhkan di satu wilayah tertentu.

Ketidaksesuaian data menjadi salah satu penyebab karut marut pembagian bantuan terkait pandemi covid-19. Bahkan Pemerintah provinsi DKI Jakarta pada laman Kompas.id mengakui adanya kekeliruan pada pendataan. Atau pada laman yang lain disebutkan bahwa data yang digunakan pemerintah adalah data lama yang belum diperbaharui.

Permasalahan data yang sulit diakses, data yang tidak diperbaharui, data dengan format yang tidak sama, data yang tidak valid bukanlah sebuah permasalahan baru.

Ketika, kita berlomba-lomba mempelajari data dari berbagai bidang keilmuan dengan menggunakan tools dasar hingga software canggih untuk mengolah data rasanya tidak akan ada artinya, jika sumber daya utamanya yaitu data set nya belum dibenahi.

Ini seperti seorang koki yang belajar masak hingga ke berbagai belahan dunia dan sudah memiliki kemampuan masak yang diakui namun tidak memiliki bahan baku dengan kualitas yang baik. Hasilnya, tidak ada pelanggan yang akan menikmati dengan hasil masakan koki tersebut.

Cita-cita pemerintah untuk menjalankan pemerintahan yang terbuka dan dapat terukur baik adanya. Bahkan rasanya pemerintah sudah di jalan yang benar mengawali pemusatan data set melalui program Satu Data Indonesia.

Namun, seperti peribahasa jauh panggang dari pada api, apa yang dihasilkan saat ini masih jauh dari apa yang diharapkan. Kualitas data set yang ada saat ini belum sesuai apa yang semestinya tersaji.

Bukan tidak mungkin Indonesia memiliki sistem pengendalian data yang baik. Namun, rasanya pemerintah memiliki pekerjaan rumah yang berat membenahi proses pengumpulan data hingga publikasi data tersebut.

Hal yang utama adalah perlu adanya ketegasan dan konsistensi dalam mengumpulkan data set dari seluruh pelosok negeri. Hingga sampai pada situasi masyarakat mampu untuk turut memberikan evaluasi pada kebijakan daerah mau pun pusat. (Veronika | Dosen Multimedia Journalism, Universitas Multimedia Nusantara)",https://edukasi.kompas.com/read/2020/07/20/15020911/jauh-panggang-dari-api-kualitas-data-set-di-indonesia
"Basri Menyapa: Pandemi, Visi Berbagi, dan Elaborasi Farhan Siki",2020-06-08,"['Kompas Cyber Media', 'Bambang Asrini Widjanarko', 'Kurator Seni', 'Dok Farhan Siki']",,https://edukasi.kompas.com/read/2020/06/08/10563721/basri-menyapa-pandemi-visi-berbagi-dan-elaborasi-farhan-siki
"Wahai Siswa dan Orangtua, Pahami Revolusi Industri dan Pekerjaan Masa Depan",2020-05-17,"['Kompas Cyber Media', 'Untar Untuk Indonesia', 'Antara Foto Rivan Awal Lingga']","Oleh: Suhartono Chandra, Ignatius Roni Setyawan, P Tommy YS Suyasa

SAAT ini kita sudah berada pada era Revolusi Industri Keempat, era yang dicirikan oleh pemanfaatan serangkaian teknologi canggih.

Klaus Schwab, pendiri World Economic Forum, melalui bukunya The Fourth Industrial Revolution yang terbit pada tahun 2016 menyebutkan ada tiga klaster pendorong Revolusi Industri Keempat.

Pertama adalah physical (kecerdasan buatan/AI), dengan empat manifestasi physical utama, yaitu kendaraan swatantra (autonomous vehicles), pencetakan tiga dimensi/3D printing, robot canggih atau advanced robotics, dan penemuan material baru yang lebih ringan, lebih kuat, dapat didaur ulang serta adaptif.

Kedua adalah digital (internet of things atau IoT, blockchain, on-demand economy). Biological merupakan klaster pendorong ketiga yang meliputi pengeditan gen, biologi sintetis/kustomisasi organisme dengan menulis ulang DNA.

Revolusi Industri Keempat dengan turunannya, yaitu Industri 4.0, berdampak sangat luas, termasuk aspek lapangan kerja.

Banyak jenis pekerjaan yang hilang, terutama yang mekanisitis repetitif. Tetapi pekerjaan-pekerjaan baru juga akan muncul.

Hasil riset Carl Benedikt Frey dan Michael Osborne (2013) dari Oxford Martin School, Programme on the Impacts of Future Technology, University of Oxford, mengungkapkan bahwa 47 persen total tenaga kerja di Amerika Serikat berisiko.

Analisis McKinsey Global Institute (2019) memperkirakan, ada 23 juta pekerjaan yang akan hilang digantikan proses otomasi pada tahun 2030.

Akan tetapi, 27 juta hingga 46 juta pekerjaan baru tercipta di mana 10 juta di antaranya merupakan pekerjaan baru yang belum pernah ada sebelumnya.

Lalu, pekerjaan-pekerjaan apa yang kebutuhannya akan berkembang di masa depan?

Pada Oktober 2015, Glassdoor.com merilis rangking 25 pekerjaan di masa depan berdasarkan work-life balance hasil survei persepsi terhadap lebih dari 60.000 responden.

Empat belas jenis pekerjaan membutuhkan penguasaan ilmu komputer, sedangkan sisanya membutuhkan penguasaan ilmu-ilmu sosial.

Rangking pertama sampai kelima berturut-turut adalah data scientist, SEO manager, talent acquisition specialist, social media manager, dan subtitute teacher.

Pertanyaannya adalah, apakah siswa sekolah menengah atas (SMA) memiliki bekal pemahaman yang cukup mengenai pekerjaan-pekerjaan yang dibutuhkan di masa depan.

Hal tersebut menjadi isu yang perlu mendapatkan perhatian sejak siswa masih duduk di bangku SMA dari pemangku kepentingan, dalam hal ini adalah pihak sekolah, siswa yang bersangkutan, dan orangtua siswa yang diharapkan menjadi pendukung anaknya saat nanti melanjutkan pendidikan ke perguruan tinggi.

Hasil survei yang penulis lakukan terhadap 176 siswa SMA menunjukkan bahwa 60,3 persen siswa kelas 10 dan 11 belum pernah mendengar kata Industri 4.0. Adapun yang mengatakan pernah mendengar pemahamannya pun masih belum tepat.

Survei tersebut dilakukan selama minggu keempat April hingga pekan pertama Mei 2020 dalam kegiatan pengabdian kepada masyarakat secara daring di sebuah sekolah yang berlokasi di Lippo Karawaci, Kabupaten Tangerang, Banten.

Belum lagi berdasarkan kuesioner Tarumanagara College Interest Inventory (TCII), siswa tampak masih belum memiliki minat yang tegas (firm/decisive).

Sekitar 50 persen siswa masih belum benar-benar mengetahui pilihan minatnya terkait jurusan/program studi yang akan dipilih untuk mempersiapkan pekerjaan di masa depan.

Jika demikian kondisinya, ada risiko saat mereka nanti memilih program studi di perguruan tinggi dan kemudian lulus menjadi sarjana pekerjaan yang sesuai dengannya sudah tidak ada atau permintaannya sudah turun. Dengan kata, lain mereka telah salah memilih jurusan.

Sesungguhnya tanpa variabel faktor pemahaman dampak Industri 4.0 terhadap pekerjaan di masa depan, masalah mahasiswa salah jurusan atau salah memilih program studi sudah tinggi.

Hasil penelitian Indonesia Career Center Network (ICCN), sebuah jejaring pusat karier di perguruan tinggi negeri dan swasta pada 2017 menemukan bahwa 87 persen mahasiswa Indonesia merasa salah jurusan.

Di Amerika Serikat pun ternyata masalah mahasiswa salah jurusan juga terjadi. Pada Desember 2017, US Department of Education merilis studi yang dilakukan oleh National Center of Education Statistics (NCES) yang menemukan bahwa sekitar 30 persen mahasiswa mengubah pilihan utama mereka pada tahun ketiga mereka kuliah.

Kepuasan terhadap pilihan jurusan/program studi yang diambil oleh siswa dapat diprediksi oleh setidaknya oleh dua faktor.

Menurut studi yang dilakukan oleh Schenkenfelder, Frickey, dan Larson (2020) dalam artikel berjudul College Environment and Basic Psychological Needs: Predicting Academic Major Satisfaction, setidaknya ada dua faktor yang memprediksi kepuasan mahasiswa dalam perkuliahan.

Kedua faktor itu adalah basic psychological needs sebagai faktor individu dan college environment sebagai faktor lingkungan.

Faktor individu

Faktor ini lebih memprediksi kepuasan siswa terhadap jurusan/program studi (adecemic major) adalah faktor pemenuhan kebutuhan dasar psikologis (basic psychological needs) dibandingkan dengan faktor lingkungan (environment).

Faktor kebutuhan dasar psikologis ini terdiri dari volitional autonomy, competence, dan relatedness.

Volitional autonomy in major berkaitan dengan kebutuhan terhadap kebebasan dalam melakukan hal-hal yang dianggapnya penting di jurusan atau program studi.

Siswa menilai apakah program studi yang diambilnya memberikan peluang untuk mengembangkan minat atau hal-hal yang dianggapnya penting.

Perceived competence in major berkaitan dengan seberapa jauh siswa merasa memiliki kompetensi, kemampuan, ataupun keterampilan yang dibutuhkan untuk sukses dalam program studi.

Siswa menilai apakah jurusan yang diambilnya memberikan peluang dan tantangan sesuai dengan bakat atau kemampuan yang telah dimilikinya.

Dalam hal ini dapat diinterpretasikan bahwa siswa akan lebih merasa puas bila menilai jurusan yang diambilnya memberikan peluang untuk mengembangkan bakat dan kemampuannya.

Mereka juga merasa lebih puas bila mempersepsi bahwa bakat dan kemampuannya relevan dengan tugas-tugas yang diberikan pada program studi yang diambilnya.

Relatedness in major berkaitan dengan seberapa jauh siswa merasakan bertemu dengan orang-orang yang memiliki kesamaan dengan dirinya di jurusan yang diambilnya.

Siswa menilai apakah ia menjumpai orang-orang (dosen dan rekan-rekan mahasiswa) yang sesuai dengan dirinya.

Jika ketiga hal tersebut terpenuhi, siswa/mahasiswa akan memiliki semangat yang tinggi (internal motivation), yang pada akhirnya memprediksi kesuksesan akademik di program studi.

Faktor lingkungan

Walaupun perannya dalam memprediksi kepuasan dan keberhasilan akademik siswa di perguruan tinggi tidak sebesar faktor pemenuhan kebutuhan dasar psikologis, namun faktor ini juga tetap signifikan dalam membuat siswa puas terhadap jurusan pilihannya.

Yang termasuk dalam faktor lingkungan ini antara lain dukungan pihak kampus, yakni dosen dan staf akademik (faculty support) serta teman-teman sebaya (peer support).

Di luar penelitian Schenkenfelder dkk, penulis berpendapat bahwa faktor dukungan lingkungan yang tidak boleh diabaikan dalam keberhasilan siswa adalah dukungan orangtua (parental support).

Dukungan ini dapat dioperasionalisasikan dalam bentuk komunikasi antara orangtua dan siswa.

Berdasarkan penelitian Hill dan Roberts (2019), yang berjudul Parent–Adolescent Communication and Social Impacts on Black American Adolescents' Academic Well-Being, komunikasi antara orangtua dan remaja (mahasiswa) menjadi faktor awal mahasiswa memiliki perasaan mampu (self-effcacy) terhadap tugas-tugas akademik dan menjadi faktor yang meningkatkan keterampilan sosial.

Komunikasi yang terjalin dengan remaja (mahasiswa) dapat membuat remaja merasa didukung dalam penyelesaian studi.

Lebih lanjut, proses hubungan baik yang terjalin antara orangtua dan anak dapat meningkatkan bagaimana remaja (mahasiswa) berkomunikasi dengan lingkungan sosialnya.

Self-efficacy dan social skills dibutuhkan lebih lanjut agar mahasiswa mampu memiliki kinerja akademik.

Hal yang sama juga pernah dikemukakan oleh Mason-Dorman (2014) dalam disertasinya bahwa bahwa dukungan orangtua tidak dapat diabaikan dalam keberhasilan akademik siswa.

Orangtua adalah partner guru dalam dalam proses pembelajaran mencapai prestasi akademik.

Jika dampak Industri 4.0 terhadap berbagai pekerjaan yang diperlukan di masa depan dapat dipahami oleh siswa, siswa diharapkan akan lebih memiliki pandangan dalam mengarahkan minat dan bakatnya.

Tidak kalah penting adalah faktor dukungan lingkungan (orangtua). Dukungan orangtua menciptakan komunikasi memahami siswa sehingga akan membuat siswa akan merasa yakin dalam memilih program studi yang tepat.

Siswa akan lebih berhati-hati dalam memilih jurusan studi untuk mempersiapkan masa depannya.

Siswa akan memilih program studi yang memberikan peluang untuk mengembangkan minatnya serta mengembangkan bakat dan kemampuannya.

Siswa juga akan berhati-hati dalam memilih program studi di mana ia dapat berjumpa dengan orang-orang yang memiliki kesamaan minat dan bakat dengan dirinya.

Orangtua, siswa, dan perguruan tinggi mengalokasikan sumber daya yang tidak sedikit dalam menyelenggarakan proses pendidikan.

Bayangkan jika setiap tahun 7 dari 10 lulusan perguruan tinggi merasa bahwa program studi yang telah ditempuhnya dirasa kurang pas dengan minat dan bakatnya, tentu hal ini secara implisit telah menimbulkan kerugian ekonomi.

Belum lagi kerugian ekonomi jika lulusan tidak mendapatkan/menciptakan lapangan pekerjaan, yang mana akan hilang sebagai dampak dari Industri 4.0.

Dari uraian di atas, informasi mengenai dampak Industri 4.0 terhadap berbagai pekerjaan yang diperlukan di masa depan merupakan isu penting yang berdampingan dengan pentingnya isu mengenai ketepatan pemilihan jurusan/program studi di perguruan tinggi bagi siswa SMA.

Siswa tidak hanya perlu mengenali minat dan bakatnya, tetapi juga memahami pekerjaan apa saja yang dibutuhkan di era Industri 4.0.

Isu ini bukanlah apa-apa jika tidak ada keterlibatan dan dukungan pihak sekolah melalui komunikasi dengan orang tua, guru bimbingan karier, dan siswa yang bersangkutan.

Orangtua siswa yang mengenali dan mendukung minat dan bakat anaknya akan sangat berperan menciptakan komunikasi dengan siswa dalam menumbuhkan perasaan yakinnya terhadap jurusan yang dapat mempersiapkannya menuju masa depan.

Ir Suhartono Chandra, MM

Dosen Fakultas Ekonomi dan Bisnis Universitas Tarumanagara

Dr Ignatius Roni Setyawan, SE, MSi

Dosen Fakultas Ekonomi dan Bisnis Universitas Tarumanagara

Dr P Tommy YS Suyasa, Psikolog

Dosen Fakultas Psikologi Universitas Tarumanagara",https://edukasi.kompas.com/read/2020/05/17/17021521/wahai-siswa-dan-orangtua-pahami-revolusi-industri-dan-pekerjaan-masa-depan
"Antisipasi Corona, UI Terapkan Pembelajaran Jarak Jauh Mulai 18 Maret",2020-03-13,"['Kompas Cyber Media', 'Wahyu Adityo Prodjo', 'Kompas.Com Vitorio Mantalean']",,https://edukasi.kompas.com/read/2020/03/13/21593171/antisipasi-corona-ui-terapkan-pembelajaran-jarak-jauh-mulai-18-maret
"Tahun Ajaran Ini, Quipper Gelar ""Try Out"" hingga 160.000 Peserta",2020-03-12,"['Kompas Cyber Media', 'Erwin Hutapea', 'Dok. Quipper']","KOMPAS.com – Salah satu persiapan yang bisa dilakukan oleh siswa menghadapi ujian nasional adalah melakukan try out (TO).

Try out merupakan bentuk tes yang diujicobakan kepada siswa. Penyusunan soalnya dilakukan oleh dinas pendidikan atau lembaga pendidikan yang berkompeten sesuai dengan Standar Kompetensi Lulusan (SKL) dan kisi-kisi ujian nasional.

Meski demikian, tidak dapat dipastikan bahwa soal ujian TO sama dengan soal ujian nasional yang nantinya dihadapi siswa.

Berbagai manfaat bisa diperoleh dengan mengikuti TO, antara lain siswa mampu mengasah keterampilan mengerjakan soal-soal yang berkaitan dengan materi pelajaran yang diujikan.

TO pun bisa menjadi evaluasi untuk mengetahui pemahaman siswa terhadap pelajaran yang ditunjukkan melalui ujian tersebut.

Sebagai salah satu perusahaan pendidikan, Quipper berusaha meningkatkan kualitas pendidikan di Indonesia dengan menyelenggarakan online try out nasional.

Hal ini dilakukan bekerja sama dengan Dinas Pendidikan Provinsi Sumatera Selatan dan Sulawesi Selatan, serta Universitas Andalas di Sumatera Barat.

Dalam suatu diskusi tentang pendidikan, Quipper menyatakan telah mengadakan beberapa kali try out pada tahun ajaran 2019/2020 yang melibatkan hampir 160.000 peserta siswa SMP dan SMA se-Indonesia.

“Try out nasional yang sukses digelar oleh Quipper di 396 kabupaten dan kota di Indonesia ini tidak lepas dari dukungan berbagai pihak, seperti Dinas Pendidikan Provinsi Sumatera Selatan, Provinsi Sulawesi Selatan, Dinas Pendidikan Kota Denpasar, dan juga dari Universitas Andalas di Padang,” ujar Strategy Planner Quipper Indonesia Fajrie Nuary melalui keterangan tertulis, Selasa (10/3/2020).

Ia menyampaikan ucapan terima kasih kepada semua pihak yang telah bekerja sama dalam pelaksanaan online TO nasional pada tahun ajaran ini.

Baca juga: Quipper Buka Pendaftaran Beasiswa, Target Peserta Hingga 20.000 Siswa",https://edukasi.kompas.com/read/2020/03/12/10000031/tahun-ajaran-ini-quipper-gelar-try-out-hingga-160.000-peserta
Jurusan Kedokteran Terbaik di Indonesia Versi QS WUR 2020,2020-03-11,"['Kompas Cyber Media', 'Ayunda Pininta Kasih']",,https://edukasi.kompas.com/read/2020/03/11/18102761/jurusan-kedokteran-terbaik-di-indonesia-versi-qs-wur-2020
"Wabah Corona, ini Tanggapan Kemendikbud tentang Meliburkan Sekolah",2020-03-11,"['Kompas Cyber Media', 'Ayunda Pininta Kasih', 'Antara Foto Fauzan']",,https://edukasi.kompas.com/read/2020/03/11/18003611/wabah-corona-ini-tanggapan-kemendikbud-tentang-meliburkan-sekolah
Kemendikbud: 3.000 Ormas dan 12.000 Relawan Daftar Organisasi Penggerak,2020-03-11,"['Kompas Cyber Media', 'Ayunda Pininta Kasih', 'Kompas.Com Kristianto Purnomo']",,https://edukasi.kompas.com/read/2020/03/11/17581981/kemendikbud-3000-ormas-dan-12000-relawan-daftar-organisasi-penggerak
Kemendikbud Anggarkan Rp 595 M per Tahun untuk Ormas Penggerak,2020-03-11,"['Kompas Cyber Media', 'Ayunda Pininta Kasih', 'Dok. Kompas.Com Ayunda Pininta Kasih']",,https://edukasi.kompas.com/read/2020/03/11/10570151/kemendikbud-anggarkan-rp-595-m-per-tahun-untuk-ormas-penggerak
"Cegah Virus Corona, ""Dokter Cilik"" Bisa Jadi Duta Kesehatan di Sekolah",2020-03-10,"['Kompas Cyber Media', 'Yohanes Enggar Harususilo', 'Dok. Tanoto Foundation']",,https://edukasi.kompas.com/read/2020/03/10/19123941/cegah-virus-corona-dokter-cilik-bisa-jadi-duta-kesehatan-di-sekolah
"Cegah Corona, Rektor Budi Luhur: Tingkatkan Daya Tahan Tubuh dengan Jamu",2020-03-11,"['Kompas Cyber Media', 'Ayunda Pininta Kasih', 'Kompas.Com Wahyu Adityo Prodjo']",,https://edukasi.kompas.com/read/2020/03/11/17000091/cegah-corona-rektor-budi-luhur--tingkatkan-daya-tahan-tubuh-dengan-jamu
"Pendaftaran Beasiswa S1/S2 IFA Paris Masih Dibuka, Tertarik?",2020-03-10,"['Kompas Cyber Media', 'Ayunda Pininta Kasih']",,https://edukasi.kompas.com/read/2020/03/10/19144181/pendaftaran-beasiswa-s1-s2-ifa-paris-masih-dibuka-tertarik
Kuliah D2 Gratis dan Ikatan Dinas Kementerian Perindustrian,2020-03-10,"['Kompas Cyber Media', 'Ayunda Pininta Kasih', 'Dok. Pixabay']",,https://edukasi.kompas.com/read/2020/03/10/14433441/kuliah-d2-gratis-dan-ikatan-dinas-kementerian-perindustrian
"Sekolah Inklusi, Jangan Ada Bullying di antara Kita...",2020-03-02,"['Kompas Cyber Media', 'Program Pintar', 'Praktik Baik Dan Gagasan Pendidikan', 'Dok. Tanoto Foundation']",,https://edukasi.kompas.com/read/2020/03/02/18553401/sekolah-inklusi-jangan-ada-bullying-di-antara-kita
"Orangtua, Berikut 5 Kunci Mendidik Anak Berkebutuhan Khusus",2020-02-08,"['Kompas Cyber Media', 'Albertus Adit', 'Kompas.Com Albertus Adit']",,https://edukasi.kompas.com/read/2020/02/08/10354101/orangtua-berikut-5-kunci-mendidik-anak-berkebutuhan-khusus
